iteration,seed,num_publishers,num_users,arrival_window_used,chunking_mode,auth_mode,lmm,avg_hops,avg_delay,avg_success_rate
1,1200,4,2,20.0,with_chunking,without_auth,LMM-1,16.0,15.750000000000012,0.48568150798901183
1,1200,4,2,20.0,with_chunking,without_auth,LMM-2,16.0,15.750000000000012,0.48568150798901183
1,1200,4,4,20.0,with_chunking,without_auth,LMM-1,16.0,15.750000000000007,0.41520180123609607
1,1200,4,4,20.0,with_chunking,without_auth,LMM-2,16.0,10.750000000000012,0.48568150798901183
1,1200,4,6,20.0,with_chunking,without_auth,LMM-1,16.0,15.750000000000007,0.3596202102352637
1,1200,4,6,20.0,with_chunking,without_auth,LMM-2,16.0,9.083333333333345,0.4856815079890118
1,1200,4,8,20.0,with_chunking,without_auth,LMM-1,16.0,15.750000000000005,0.3116101022133264
1,1200,4,8,20.0,with_chunking,without_auth,LMM-2,16.75,9.034375000000011,0.579210718111734
1,1200,6,2,20.0,with_chunking,without_auth,LMM-1,14.0,13.850000000000012,0.5362315224922912
1,1200,6,2,20.0,with_chunking,without_auth,LMM-2,14.0,13.850000000000012,0.5362315224922912
1,1200,6,4,20.0,with_chunking,without_auth,LMM-1,14.0,13.850000000000009,0.4676661974983076
1,1200,6,4,20.0,with_chunking,without_auth,LMM-2,14.0,8.850000000000012,0.5362315224922912
1,1200,6,6,20.0,with_chunking,without_auth,LMM-1,14.0,13.850000000000007,0.4131735688675304
1,1200,6,6,20.0,with_chunking,without_auth,LMM-2,14.0,7.183333333333343,0.5362315224922912
1,1200,6,8,20.0,with_chunking,without_auth,LMM-1,14.0,13.850000000000007,0.3604779750357532
1,1200,6,8,20.0,with_chunking,without_auth,LMM-2,14.0,10.100000000000005,0.4675668457549499
1,1200,8,2,20.0,with_chunking,without_auth,LMM-1,12.5,12.425000000000008,0.5719449941811492
1,1200,8,2,20.0,with_chunking,without_auth,LMM-2,12.5,12.425000000000008,0.5719449941811492
1,1200,8,4,20.0,with_chunking,without_auth,LMM-1,12.5,12.425000000000006,0.5014757588123219
1,1200,8,4,20.0,with_chunking,without_auth,LMM-2,12.5,7.425000000000009,0.5719449941811492
1,1200,8,6,20.0,with_chunking,without_auth,LMM-1,12.5,12.425000000000006,0.44479577502438705
1,1200,8,6,20.0,with_chunking,without_auth,LMM-2,12.5,6.147222222222229,0.5719449941811492
1,1200,8,8,20.0,with_chunking,without_auth,LMM-1,12.5,12.425000000000006,0.38550010508411403
1,1200,8,8,20.0,with_chunking,without_auth,LMM-2,12.5,8.675000000000004,0.5070234356606937
1,1200,10,2,20.0,with_chunking,without_auth,LMM-1,10.0,10.050000000000004,0.6563770173476864
1,1200,10,2,20.0,with_chunking,without_auth,LMM-2,10.0,10.050000000000004,0.6563770173476864
1,1200,10,4,20.0,with_chunking,without_auth,LMM-1,10.0,10.050000000000004,0.6113434733601066
1,1200,10,4,20.0,with_chunking,without_auth,LMM-2,10.0,5.275000000000005,0.6563770173476864
1,1200,10,6,20.0,with_chunking,without_auth,LMM-1,10.0,10.050000000000004,0.5344568114836359
1,1200,10,6,20.0,with_chunking,without_auth,LMM-2,10.0,7.827777777777782,0.5957378175947099
1,1200,10,8,20.0,with_chunking,without_auth,LMM-1,10.0,10.050000000000004,0.4850935340175949
1,1200,10,8,20.0,with_chunking,without_auth,LMM-2,10.0,6.412500000000001,0.5974405690642347
2,1201,4,2,20.0,with_chunking,without_auth,LMM-1,11.0,11.000000000000007,0.6226822485482949
2,1201,4,2,20.0,with_chunking,without_auth,LMM-2,11.0,11.000000000000007,0.6226822485482949
2,1201,4,4,20.0,with_chunking,without_auth,LMM-1,11.0,11.000000000000007,0.559716258688965
2,1201,4,4,20.0,with_chunking,without_auth,LMM-2,11.0,6.000000000000008,0.6226822485482949
2,1201,4,6,20.0,with_chunking,without_auth,LMM-1,11.0,11.000000000000005,0.5030958453910518
2,1201,4,6,20.0,with_chunking,without_auth,LMM-2,11.0,8.777777777777782,0.5584566786999827
2,1201,4,8,20.0,with_chunking,without_auth,LMM-1,11.0,11.000000000000005,0.45662355383398673
2,1201,4,8,20.0,with_chunking,without_auth,LMM-2,11.0,7.2500000000000036,0.560249336588079
2,1201,6,2,20.0,with_chunking,without_auth,LMM-1,10.0,10.050000000000006,0.6678138303245725
2,1201,6,2,20.0,with_chunking,without_auth,LMM-2,10.0,10.050000000000006,0.6678138303245725
2,1201,6,4,20.0,with_chunking,without_auth,LMM-1,10.0,10.050000000000004,0.6078503199386951
2,1201,6,4,20.0,with_chunking,without_auth,LMM-2,10.0,5.050000000000006,0.6678138303245725
2,1201,6,6,20.0,with_chunking,without_auth,LMM-1,10.0,10.050000000000004,0.553232940148642
